Subcategory,EOH Unit,On Order
Vegetables,77658.833333333,30690
SmartPhones,231561.257142857,103100
SLR,146691.666666667,54880
Shirts,114137.6,49555
Sauces,93518.904761905,31910
Samsung,89178.157142857,33380
Salt and Spices,63619.571428571,31373.333333333
Point & Shoot,88292.304761905,41690
Pickles,112064.595238095,37990
Milk and Cream,79972.142857143,32370
Memory Cards,170282.304761904,72010
"Meat, Poultry and Seafood",119211.571428571,58170
Lenovo,50034.195238095,20650
Juice,74339.309523810,28630
Jeans and Pants,84094.261904762,38643.333333333
HP,81031.619047619,32440
Headsets,182281.904761905,79053.333333333
Fruits,68274.809523810,39066.666666667
Dell,63961.914285714,34140
"Dairy, Eggs and Cheese",113953.971428572,64506.666666667
Cookies,64132.233333333,25240
Condiments,46511.133333333,23433.333333333
Coffee and Tea,70391.152380952,35010
Chutneys & Relishes,56432.619047619,22570
Chips,74735.928571429,36530
Chargers,87580.9,44093.333333333
Candy,56488.942857143,20463.333333333
Camcorder,81071.928571429,28530
Bakery and Bread,57480.080952381,46733.333333333
Apple,81316.971428571,32640
